1 0
2 0
3 0
4 0
5 1
6 1
7 2
8 4
9 5
10 7
11 10
12 13
13 16
14 19
15 23
16 27
17 30
18 35
19 39
20 43
21 47
22 52
23 56
24 60
25 64
26 68
27 71
28 74
29 77
30 79
31 81
32 84
33 85
34 86
35 88
36 89
37 90
38 92
39 92
40 93
41 94
42 94
43 95
44 96
45 96
46 97
47 97
48 97
49 97
51 97
52 98
53 98
54 98
56 98
62 99
76 99
84 99
90 100
